A Sogra Que Deus Me Deu;Description unavailable;https://www.imdb.com/title/tt0449761/;Comedy;No Rating;Total Rating Count N/A;Unknown;
Siu giu zoi ming tin;Description unavailable;https://www.imdb.com/title/tt0449760/;Drama;No Rating;Total Rating Count N/A;Unknown;
Single Girls;Description unavailable;https://www.imdb.com/title/tt0449759/;Drama;No Rating;Total Rating Count N/A;Unknown;
Sex in the 90's;Description unavailable;https://www.imdb.com/title/tt0449758/;['Documentary', 'Romance'];6.9;8;Unknown;
Seu Tintoreto;Description unavailable;https://www.imdb.com/title/tt0449757/;Comedy;No Rating;Total Rating Count N/A;1956-04-10;
Seu Pepino;Description unavailable;https://www.imdb.com/title/tt0449756/;Comedy;No Rating;Total Rating Count N/A;Unknown;
Seu Genaro;Description unavailable;https://www.imdb.com/title/tt0449755/;Comedy;No Rating;Total Rating Count N/A;1957-10-09;
Posto Avançado;Description unavailable;https://www.imdb.com/title/tt0449754/;Drama;No Rating;Total Rating Count N/A;Unknown;
O Pimpinela Escarlate;Description unavailable;https://www.imdb.com/title/tt0449753/;Adventure;No Rating;Total Rating Count N/A;1956-07-25;
Game k n b?;Description unavailable;https://www.imdb.com/title/tt0449752/;Game-Show;8.2;18;Unknown;
Los perplejos;Description unavailable;https://www.imdb.com/title/tt0449751/;Comedy;No Rating;Total Rating Count N/A;2005-07-06;
A Conquista Que Não Fiz;Description unavailable;https://www.imdb.com/title/tt0449700/;Romance;No Rating;Total Rating Count N/A;1959-02-02;
Chor kit leung yuen;Description unavailable;https://www.imdb.com/title/tt0449699/;Drama;6.4;5;Unknown;
O Cavaleiro de Pardaillan;Description unavailable;https://www.imdb.com/title/tt0449698/;Adventure;No Rating;Total Rating Count N/A;Unknown;
Caminhos Incertos;Description unavailable;https://www.imdb.com/title/tt0449697/;Romance;No Rating;Total Rating Count N/A;Unknown;
The Buzz;Description unavailable;https://www.imdb.com/title/tt0449696/;Talk-Show;6.7;10;1999-06-13;
Buk dau chin fung;Description unavailable;https://www.imdb.com/title/tt0449695/;Drama;No Rating;Total Rating Count N/A;1987-08-10;
Bizim otel;Bizim otel is a TV mini-series starring Serhan Arslan, Ipek Deger, and Engin Altan Düzyatan. Cabbar of Urfa missed the chance to get educated, for there is no "Oxford" in Urfa! He is unemployed and living with Halime, his...;https://www.imdb.com/title/tt0449694/;Comedy;2.8;6;Unknown;
Bizim aile;Description unavailable;https://www.imdb.com/title/tt0449693/;Genre Unknown;5.9;8;Unknown;
Benimle evlenir misin;Description unavailable;https://www.imdb.com/title/tt0449692/;Genre Unknown;6.1;34;Unknown;
Benim için aglama;Description unavailable;https://www.imdb.com/title/tt0449691/;Drama;6.2;10;Unknown;
Marinara;Marinara is a TV series starring Rufa Mae Quinto, Wendell Ramos, and Alfred Vargas. A naive young mermaid journeys to the surface in search of her two sisters.;https://www.imdb.com/title/tt0449611/;Fantasy;No Rating;Total Rating Count N/A;2004-06-14;
Balitang Kris;Description unavailable;https://www.imdb.com/title/tt0449690/;Talk-Show;No Rating;Total Rating Count N/A;Unknown;
Babam ve biz;Description unavailable;https://www.imdb.com/title/tt0449689/;Comedy;5.0;17;Unknown;
As Aventuras de Red Ringo;Description unavailable;https://www.imdb.com/title/tt0449688/;Adventure;No Rating;Total Rating Count N/A;1954-09-04;
As Aventuras de Berloque Kolmes;Description unavailable;https://www.imdb.com/title/tt0449687/;Comedy;No Rating;Total Rating Count N/A;1953-03-17;
Avci;Description unavailable;https://www.imdb.com/title/tt0449686/;Genre Unknown;4.3;21;2001-04-02;
Autores invitados;Description unavailable;https://www.imdb.com/title/tt0449685/;Drama;No Rating;Total Rating Count N/A;1966-02-09;
Askim askim;Askim askim is a TV series starring Aylin Arasil, Ali Atay, and Nur Bal. Zumrut and Sener are a couple of middle ages running a restaurant. They live in the house on the top floor of the restaurant. Sener keeps going on his...;https://www.imdb.com/title/tt0449684/;Comedy;4.6;732;Unknown;
Antología de la zarzuela;Description unavailable;https://www.imdb.com/title/tt0449683/;Musical;No Rating;Total Rating Count N/A;Unknown;
Anki... Tô... Eu;Description unavailable;https://www.imdb.com/title/tt0449682/;Comedy;No Rating;Total Rating Count N/A;1959-03-02;
Os anjos Não Tem Cor;Description unavailable;https://www.imdb.com/title/tt0449681/;Drama;No Rating;Total Rating Count N/A;1953-10-01;
An American Wedding;An American Wedding is a TV series starring Hunter Tylo, Julie Laipply, and Michael Tylo. Marriage as a positive way of life --- Marriage as an adventure Weddings as a community celebration --- an agreement where vows are exchanged...;https://www.imdb.com/title/tt0449680/;Genre Unknown;5.4;11;Unknown;
Alma Branca;Description unavailable;https://www.imdb.com/title/tt0449679/;Romance;No Rating;Total Rating Count N/A;Unknown;
Aimberê, o Pequeno Guerreiro;Description unavailable;https://www.imdb.com/title/tt0449678/;Adventure;No Rating;Total Rating Count N/A;1956-09-14;
Ah Qual qing chuen;Description unavailable;https://www.imdb.com/title/tt0449677/;Drama;No Rating;Total Rating Count N/A;Unknown;
Aguila;Description unavailable;https://www.imdb.com/title/tt0449676/;Drama;No Rating;Total Rating Count N/A;1987-09-17;
Adolescência;Description unavailable;https://www.imdb.com/title/tt0449675/;Romance;No Rating;Total Rating Count N/A;1959-04-27;
Adeus, Mr. Chips;Description unavailable;https://www.imdb.com/title/tt0449674/;Drama;No Rating;Total Rating Count N/A;Unknown;
Abangan Ang Susunod Na Kabanata;Description unavailable;https://www.imdb.com/title/tt0449673/;Comedy;8.4;10;Unknown;
48 Horas com Bibinha;Description unavailable;https://www.imdb.com/title/tt0449672/;Adventure;No Rating;Total Rating Count N/A;1953-09-01;
Secretos;Secretos is a TV series starring Alfredo Brito, Ricardo Herranz, and Estefania Iglesias. A team of private investigators that track down real life cheating spouses and unfaithful friends to uncover their "Secretos" (secrets).;https://www.imdb.com/title/tt0449550/;['Drama', 'Romance'];7.4;50;2004-04-03;
Saang sulok ng langit;Description unavailable;https://www.imdb.com/title/tt0449549/;Drama;No Rating;Total Rating Count N/A;2005-01-31;
My Restaurant Rules;My Restaurant Rules is a TV series starring Caterina Borsato, Patrick Collins, and Matt Moran. The series pits five couples, each from different states, to compete against each other in opening a successful restaurant. In the early...;https://www.imdb.com/title/tt0449548/;Reality-TV;7.2;25;2004-02-15;
Jopet-show;Description unavailable;https://www.imdb.com/title/tt0449546/;Comedy;6.2;197;2005-01-26;
Curious George;Curious George is a TV series starring Jeff Bennett, Frank Welker, and Rino Romano. Follows the mischievous adventures of a Monkey by the name of George.;https://www.imdb.com/title/tt0449545/;['Animation', 'Short', 'Adventure', 'Comedy', 'Family'];7.2;1675;2006-09-04;
Campanadas desde la Puerta del Sol;Campanadas desde la Puerta del Sol is a TV series starring Ramón García, Anne Igartiburu, and Ana Obregón. In Spain, since the 1920s, it is a tradition to celebrate the New Year with the sound of the bell of the clock in La Puerta...;https://www.imdb.com/title/tt0449544/;Family;5.0;8;1962-12-31;
24: Conspiracy;24: Conspiracy is a TV mini-series starring Dylan Bruce, Beverly Bryant, and Amy Rider. Washington D.C. is the new location of CTU for this so-called "spin-off"/rip-off;https://www.imdb.com/title/tt0449543/;['Short', 'Action', 'Drama', 'Thriller'];4.8;56;2005-01-30;
Mysterious Forces Beyond;Description unavailable;https://www.imdb.com/title/tt0449501/;Documentary;7.0;6;Unknown;
La septima puerta;La septima puerta is a TV series starring Jorge López, Gustavo Ángel, and Carolina Ramírez. Jenny Candela and Tomás Cabal Amado are two journalists who are looking for news of paranormal and terrifying events. Whenever something...;https://www.imdb.com/title/tt0449551/;Sci-Fi;6.8;35;2004-08-12;
Landysh serebristyy 2;Description unavailable;https://www.imdb.com/title/tt0449500/;['Comedy', 'Romance'];3.6;29;2005-01-11;
Grandi domani;Description unavailable;https://www.imdb.com/title/tt0449499/;['Musical', 'Romance'];5.7;23;2005-01-21;
Brady's Beasts;Description unavailable;https://www.imdb.com/title/tt0449497/;['Animation', 'Family'];5.9;22;Unknown;
Town Challenge;Town Challenge is a TV series starring Hugo Duncan, Christine Lampard, and Tom McDermott. Town Challenge is Northern Irelands favourite game show. Each weeks two towns from the country battle against each other in a series of fun...;https://www.imdb.com/title/tt0449464/;['Action', 'Comedy', 'Game-Show'];No Rating;Total Rating Count N/A;Unknown;
That's Kentertainment!;That's Kentertainment! is a TV series starring Ken Kleiber, Sal Schera, and Charo. The Adventures of host Ken in this surreal musical-comedy-variety-talk show featuring celebrities from around the world.;https://www.imdb.com/title/tt0449463/;Comedy;No Rating;Total Rating Count N/A;2002-03-25;
The Starlet;The Starlet is a TV series starring Katie Wagner, Vivica A. Fox, and Joseph Middleton. Set in the glitter of Tinsel Town, The Starlet, has one purpose - to discover the next young actress with the potential to become a major star....;https://www.imdb.com/title/tt0449462/;Reality-TV;6.0;48;2005-03-06;
Nova ScienceNow;Nova ScienceNow is a TV series starring Neil deGrasse Tyson, Chad Cohen, and Ziya Tong. Uncover the complicated truth behind our sense of taste.;https://www.imdb.com/title/tt0449461/;Documentary;8.5;487;2005-01-25;
Next;Next is a TV series starring Lorin Eric Salm, Michael McKinley, and Jamieson Hill. A reality based dating show in which 5 dates have been lined up for the contestant. The contestant can opt to declare "Next" at any time to reject...;https://www.imdb.com/title/tt0449460/;['Comedy', 'Game-Show', 'Reality-TV'];4.1;574;2005-04-04;
New York Noise;Description unavailable;https://www.imdb.com/title/tt0449459/;Music;7.9;13;2004-08-21;
Inside the Archives;Description unavailable;https://www.imdb.com/title/tt0449458/;Documentary;No Rating;Total Rating Count N/A;2003-10-10;
F-List;Description unavailable;https://www.imdb.com/title/tt0449457/;Music;No Rating;Total Rating Count N/A;2005-01-10;
Club La Bomba;Description unavailable;https://www.imdb.com/title/tt0449456/;Music;No Rating;Total Rating Count N/A;2000-07-15;
City Classics;Description unavailable;https://www.imdb.com/title/tt0449455/;Documentary;No Rating;Total Rating Count N/A;2002-06-10;
Carpocalypse;Carpocalypse is a TV series starring Benjamin Craft. Take a riotous journey where reality television meets the future of smash-up derby. Follow a slew of colorful demolition racing heroes as they prepare for and compete in such...;https://www.imdb.com/title/tt0449454/;['Action', 'Reality-TV'];7.1;17;2005-02-26;
Build or Bust;Description unavailable;https://www.imdb.com/title/tt0449453/;Genre Unknown;7.5;20;2005-02-23;
Art Mann Presents;Art Mann Presents is a TV series starring Art Mann, May Celestine, and Erin Micklow. Mark Cuban, Nick G. Miller, and Art Mann have teamed up to bring us one of the season's most anticipated series. Art Mann Presents is an exclusive...;https://www.imdb.com/title/tt0449452/;['Adventure', 'Reality-TV'];7.8;66;2005-02-28;
Amplified Guide;Amplified Guide is a TV series starring Dylan Lane. An animated comedy about a keen young dragon who's desperate to impress his teacher, and his surprising friendship with a powerful young princess. Based on the picture book written...;https://www.imdb.com/title/tt0449451/;Genre Unknown;No Rating;Total Rating Count N/A;2005-01-10;
That's So New York;Description unavailable;https://www.imdb.com/title/tt0449490/;['Short', 'News'];No Rating;Total Rating Count N/A;2005-02-06;
Tele-Club;Description unavailable;https://www.imdb.com/title/tt0449150/;Genre Unknown;No Rating;Total Rating Count N/A;Unknown;
Seni Yasatacagim;Seni Yasatacagim is a TV series starring Yetkin Dikinciler, Berna Laçin, and Can Gürzap. Dr. Zeynep (Berna Lacin), married with two children gets one day abducted from hospital by force and is urged to cure Resat, who has been...;https://www.imdb.com/title/tt0449149/;Drama;5.2;22;Unknown;
Sana bayiliyorum;Description unavailable;https://www.imdb.com/title/tt0449148/;Comedy;No Rating;Total Rating Count N/A;2002-09-01;
Rueda de prensa;Description unavailable;https://www.imdb.com/title/tt0449147/;['News', 'Talk-Show'];No Rating;Total Rating Count N/A;Unknown;
Revista para la mujer;Description unavailable;https://www.imdb.com/title/tt0449146/;Genre Unknown;No Rating;Total Rating Count N/A;Unknown;
Pembe patikler;Pembe patikler is a TV series starring Oya Aydogan, Hüseyin Avni Danyal, and Süreyya Davulcuoglu. Staying with her family with her twin babies, Zelish decided to go to university. On the other hand, her uncle and aunt are looking to...;https://www.imdb.com/title/tt0449145/;Comedy;5.2;43;Unknown;
Panorama de actualidad;Description unavailable;https://www.imdb.com/title/tt0449143/;News;No Rating;Total Rating Count N/A;1963-10-01;
Open House USA;Description unavailable;https://www.imdb.com/title/tt0449142/;Genre Unknown;No Rating;Total Rating Count N/A;Unknown;
Musical 14,05;Description unavailable;https://www.imdb.com/title/tt0449141/;['Music', 'Comedy'];No Rating;Total Rating Count N/A;1965-10-02;
The Dream Girls Real Life Adventure;Description unavailable;https://www.imdb.com/title/tt0449130/;Genre Unknown;No Rating;Total Rating Count N/A;Unknown;
Dos en la ciudad;Description unavailable;https://www.imdb.com/title/tt0449129/;Drama;No Rating;Total Rating Count N/A;1965-10-08;
The Chase;Description unavailable;https://www.imdb.com/title/tt0449128/;Genre Unknown;No Rating;Total Rating Count N/A;Unknown;
Cartel;Description unavailable;https://www.imdb.com/title/tt0449127/;Genre Unknown;No Rating;Total Rating Count N/A;Unknown;
Ayer domingo;Description unavailable;https://www.imdb.com/title/tt0449126/;Sport;No Rating;Total Rating Count N/A;Unknown;
Aquí el segundo programa;Description unavailable;https://www.imdb.com/title/tt0449125/;['Comedy', 'Music', 'Talk-Show'];No Rating;Total Rating Count N/A;1965-11-04;
Aplauso;Description unavailable;https://www.imdb.com/title/tt0449124/;['Comedy', 'Music'];No Rating;Total Rating Count N/A;Unknown;
A toda plana;Description unavailable;https://www.imdb.com/title/tt0449123/;['Documentary', 'News'];No Rating;Total Rating Count N/A;Unknown;
10 líneas de 'El Quijote';Description unavailable;https://www.imdb.com/title/tt0449122/;Genre Unknown;No Rating;Total Rating Count N/A;2005-03-03;
¿Y tú bailas?;Description unavailable;https://www.imdb.com/title/tt0449156/;Music;No Rating;Total Rating Count N/A;1998-07-26;
¿Quién es quién?;Description unavailable;https://www.imdb.com/title/tt0449155/;Game-Show;No Rating;Total Rating Count N/A;Unknown;
Vaka-i Zaptiye;Description unavailable;https://www.imdb.com/title/tt0449154/;Genre Unknown;5.5;14;Unknown;
Unutma beni;Description unavailable;https://www.imdb.com/title/tt0449153/;Genre Unknown;7.0;81;Unknown;
El tercer rombo;Description unavailable;https://www.imdb.com/title/tt0449152/;Drama;No Rating;Total Rating Count N/A;1966-01-11;
Un tema para el debate;Description unavailable;https://www.imdb.com/title/tt0449151/;['News', 'Talk-Show'];No Rating;Total Rating Count N/A;Unknown;
Lahmacun ve pizza;Description unavailable;https://www.imdb.com/title/tt0449140/;Comedy;4.3;23;Unknown;
Kuzenlerim;Kuzenlerim is a TV series starring Sevinç Gürsen Akyildiz, Irem Arslan Aydin, and Ceren Benderlioglu. Three cousins coming to Istanbul for university and the bittersweet events that happened while living in the same house.;https://www.imdb.com/title/tt0449138/;['Comedy', 'Family'];6.3;192;Unknown;
KursunAsker;Description unavailable;https://www.imdb.com/title/tt0449137/;Action;2.8;12;2002-09-15;
Kumsaldaki izler;Description unavailable;https://www.imdb.com/title/tt0449136/;Drama;4.6;17;Unknown;
Kirik ayna;Description unavailable;https://www.imdb.com/title/tt0449135/;Drama;6.1;37;Unknown;
Highstakes with Ben Mezrich;Description unavailable;https://www.imdb.com/title/tt0449134/;Genre Unknown;No Rating;Total Rating Count N/A;Unknown;
The Eva Gabor Show;Description unavailable;https://www.imdb.com/title/tt0449133/;['Family', 'Talk-Show'];No Rating;Total Rating Count N/A;Unknown;
El que dice ser y llamarse;Description unavailable;https://www.imdb.com/title/tt0449132/;Comedy;No Rating;Total Rating Count N/A;1965-12-19;
Día de fiesta;Description unavailable;https://www.imdb.com/title/tt0449131/;Family;No Rating;Total Rating Count N/A;1966-01-08;
Ghosts of Albion: Embers;Ghosts of Albion: Embers is a TV mini-series starring Rory Kinnear, Jasmine Hyde, and Anthony Daniels. Magical siblings William and Tamara Swift return to battle zombies, necromancers, dragons and demon monkeys in their quest to...;https://www.imdb.com/title/tt0449026/;Animation;7.9;18;2004-11-01;
Europe: A Natural History;Description unavailable;https://www.imdb.com/title/tt0449012/;Documentary;7.9;124;2005-02-15;
iDot;iDot is a TV series starring Michael Sheen, Lisa Jen, and Rhydian Bowen Phillips. Features interviews with notable Welsh people and Welsh musical guests;https://www.imdb.com/title/tt0448974/;Genre Unknown;No Rating;Total Rating Count N/A;2004-01-08;
Totally Wild;Description unavailable;https://www.imdb.com/title/tt0448973/;Family;3.0;8;2004-06-28;
Tikkabilla;Tikkabilla is a TV series starring Sarah Jane Honeywell, Justin Fletcher, and Julie Aigner-Clark. Daily magazine programme for preschool children, with songs, rhymes, surprise guests, animals and things to make and do;https://www.imdb.com/title/tt0448972/;['Adventure', 'Comedy', 'Family', 'Fantasy'];7.2;49;2002-02-11;
Takeover Bid;Description unavailable;https://www.imdb.com/title/tt0448971/;Genre Unknown;No Rating;Total Rating Count N/A;Unknown;
Gimme the Mike;Description unavailable;https://www.imdb.com/title/tt0448960/;Musical;No Rating;Total Rating Count N/A;2003-04-16;
Fun!;Fun! is a TV series starring Jonathan Ernest. John travels around the world in search of the world's greatest roller coasters and other family oriented recreational opportunities worldwide.;https://www.imdb.com/title/tt0448959/;Family;No Rating;Total Rating Count N/A;2004-05-23;
Cowgirls;Description unavailable;https://www.imdb.com/title/tt0448958/;Reality-TV;2.7;7;2005-05-09;
Cooking with Mamma;Description unavailable;https://www.imdb.com/title/tt0448957/;Genre Unknown;No Rating;Total Rating Count N/A;Unknown;
City Drive Live;Description unavailable;https://www.imdb.com/title/tt0448956/;News;No Rating;Total Rating Count N/A;2003-08-03;
Ciao America with Mario Batali;Ciao America with Mario Batali is a TV series starring Mario Batali. Mario travels around the USA to experience new and exciting ways to cook up Italian Food.;https://www.imdb.com/title/tt0448955/;Family;8.6;7;2003-10-01;
Committed: The Christies;Description unavailable;https://www.imdb.com/title/tt0448954/;Reality-TV;6.1;9;2006-10-01;
Cheating Death;Cheating Death is a TV series starring Robert Setari, Line Fiala, and Ermes Zamperla. Learn how to cheat death by watching the amazing stories of survival from people who have miraculously withstood near death experiences.;https://www.imdb.com/title/tt0448953/;Drama;No Rating;Total Rating Count N/A;2004-11-20;
Channel One News;Channel One News is a TV series starring Steven Fabian, Kimberley Ferdinando, and Justin Finch. Channel one news was a news program for kids in middle school and early teens that reported on current events and several other things...;https://www.imdb.com/title/tt0448952/;['Family', 'News'];4.2;94;Unknown;
Ein Fall für B.A.R.Z.;Description unavailable;https://www.imdb.com/title/tt0448951/;['Crime', 'Family'];6.7;15;2005-10-08;
Steel Band Panorama;Steel Band Panorama is a TV series starring Gregory Cox, Martin Douglas, and Anthony Hinds. NYC TV celebrates New York's rich Caribbean community with the launch of Steel Band Panorama. Highlighting the annual Panorama competition...;https://www.imdb.com/title/tt0448970/;Documentary;No Rating;Total Rating Count N/A;2004-09-10;
Search for the Ultimate Survivor;Description unavailable;https://www.imdb.com/title/tt0448969/;Documentary;5.5;32;2005-03-20;
